Name,religion_name,ceda_name,first_year,last_year
Thomas (1) Hodgkin,Quaker,QCA,1839,1847
James Bowden,Quaker,QCA,1842,1847
William Nash,Quaker,QCA,1842,1847
Joseph Sturge,Quaker,QCA,1842,1847
William Jun Grimshaw,Quaker,QCA,1840,1847
Henry Knight,Quaker,QCA,1840,1847
Edward Paull,Quaker,QCA,1840,1847
Robert Jun Alsop,Quaker,QCA,1837,1847
Abram Rawlinson Barclay,Quaker,QCA,1837,1839
John Barclay,Quaker,QCA,1837,1839
Richard Barrett,Quaker,QCA,1837,1839
John Thomas Barry,Quaker,QCA,1837,1847
Peter Bedford,Quaker,QCA,1837,1847
John Bell,Quaker,QCA,1837,1839
Thomas Christy,Quaker,QCA,1837,1839
Samuel Darton,Quaker,QCA,1837,1839
Josiah Forster,Quaker,QCA,1837,1847
Robert Forster,Quaker,QCA,1837,1847
William Forster,Quaker,QCA,1837,1847
Joseph Talwin Foster,Quaker,QCA,1837,1847
John Hamilton,Quaker,QCA,1837,1839
Edwd Harris,Quaker,QCA,1837,1847
Geo Holmes,Quaker,QCA,1837,1839
Robert Howard,Quaker,QCA,1837,1839
John Kitching,Quaker,QCA,1837,1839
Joseph Neatby,Quaker,QCA,1837,1847
John Sanderson,Quaker,QCA,1837,1847
Joseph Shewell,Quaker,QCA,1837,1839
George Stacey,Quaker,QCA,1837,1847
Joseph Storrs,Quaker,QCA,1837,1847
