"person_id","Name","religion_id","religion_name","ceda_id","ceda_name","person_ceda_first_year","person_ceda_last_year"
1216,William Horton Lloyd,1,Quaker,3,ESL,1844,1847
1207,Joseph Lister,1,Quaker,3,ESL,1844,1847
967,Thomas (1) Hodgkin,1,Quaker,3,ESL,1844,1862
853,John Henry Gurney,1,Quaker,3,ESL,1860,1867
732,Charles Henry Fox,1,Quaker,3,ESL,1861,1871
731,William Fowler,1,Quaker,3,ESL,1851,1851
730,Robert Nicholas Fowler,1,Quaker,3,ESL,1851,1871
523,David Dale,1,Quaker,3,ESL,1860,1863
448,x Collier,1,Quaker,3,ESL,1844,1844
419,William Clay,1,Quaker,3,ESL,1861,1868
403,Henry Christy,1,Quaker,3,ESL,1854,1865
151,James Bell,1,Quaker,3,ESL,1852,1862
81,James (1) Backhouse,1,Quaker,3,ESL,1869,1869
80,Edward Backhouse,1,Quaker,3,ESL,1870,1871
23,William Aldam,1,Quaker,3,ESL,1844,1848
