"person_id","Name","religion_id","religion_name","ceda_id","ceda_name","person_ceda_first_year","person_ceda_last_year"
2233,William Spicer Wood,1,Quaker,4,ASL,1863,1871
2211,William Wilson,1,Quaker,4,ASL,1865,1866
2208,James Wilson,1,Quaker,4,ASL,1865,1865
2108,E T Wakefield,1,Quaker,4,ASL,1865,1868
1725,J Robinson,1,Quaker,4,ASL,1865,1865
1021,Jonathan Hutchinson,1,Quaker,4,ASL,1863,1871
979,William Holmes,1,Quaker,4,ASL,1865,1869
776,George Stacey Gibson,1,Quaker,4,ASL,1864,1866
600,James T J Doyle,1,Quaker,4,ASL,1865,1868
503,Henry Crowley,1,Quaker,4,ASL,1864,1871
322,Charles Buxton,1,Quaker,4,ASL,1864,1866
303,William Bull,1,Quaker,4,ASL,1867,1871
249,Antonio Brady,1,Quaker,4,ASL,1864,1871
27,S  Stafford Allen,1,Quaker,4,ASL,1863,1870
